comunidad,tasa.2000,tasa.2001,tasa.2002,tasa.2003,tasa.2004,tasa.2005,tasa.2006,tasa.2007,tasa.2008,tasa.2009,tasa.2010,tasa.2011,tasa.2012,tasa.2013
andalucia,13.9563043967536,15.0432848980439,15.7278959011729,15.4032261457045,16.0324827857314,16.4577462429293,17.3678155270177,18.2506001331851,20.2810946304781,21.0708927446395,20.5651074098298,19.1996725585706,18.6592047204818,17.9969906282952
aragon,9.49652452414428,10.9439192900539,13.7411150919004,18.1368842930192,19.2944211833698,19.1485287547073,18.1687098963499,18.8022257269667,19.2702186570685,19.6510818128643,19.2042877451108,18.406097335424,16.5917358483016,16.8726570908956
asturias,9.68820333523134,10.5642087212379,12.0580537090853,12.1631310205406,11.9020899436653,12.5390684865344,13.0003268653612,13.5273179254639,15.025857807058,14.2542677572518,14.1745078347125,13.3519866628078,13.338159946536,12.9661615948847
baleares,12.4877310407625,12.4171007719999,13.6100714528751,14.3556680082883,13.8213382615479,14.5860521130958,15.6234079407669,15.8831805171494,19.4809310580103,17.6826184516343,16.8618207692426,15.9103200570651,15.9901522101696,15.4271845882876
c_valenciana,10.0686067926331,10.1508396690817,11.8103648316457,12.3510222249063,12.433682623923,12.4284781784522,13.0395672228385,13.4676784927991,14.3251919983315,16.173750042937,15.1964921300247,14.4551990447883,14.0078521956163,13.5710814724428
canarias,15.6851229056399,15.4600458299979,16.6182600182779,15.6528053669174,14.7791223362603,14.8352876623245,14.5553260217663,15.3063919117491,15.8817476955329,15.1996775653139,14.2977240232445,16.7719202226476,17.5042391604008,16.9303608522103
cantabria,12.7268859230475,11.6256142974595,11.4886358397492,12.0977278102203,13.4466747418815,13.3378622785693,10.0160009575931,11.6789799310085,13.3988848005112,12.2871180428861,11.5154073448713,11.3130373060472,10.9284832646023,10.880436839402
castilla_la_mancha,10.3271652882698,10.2162156926315,9.71359757760497,10.8272969041971,11.1526918173749,11.025684196748,11.3959760094521,11.247638198274,11.5168126866037,10.6999764091225,10.4128293682772,9.30349533454291,9.27004629839087,8.97192667484691
castilla_leon,14.7068433208907,16.3989634693528,19.388244249142,23.5443467438695,25.6704510733713,26.0469665838129,27.5899517245206,27.5191948163614,29.0576499708681,27.3881118976595,26.8683715469532,22.5017911144308,21.2640775341525,21.0288208740513
catalunya,9.74608906836299,10.123613406871,10.6940200785683,11.1140181016344,11.8928821621298,11.8752757245462,12.5751661212803,13.0018578441353,13.6351081561059,14.0875027757638,14.0115364223407,13.9224560183288,13.2626099802032,12.9698887292898
extremadura,8.21940865141853,8.74805870422525,9.86906481524626,10.4571730806478,10.4902323660868,11.2650950890275,11.7086856908263,12.7615849686694,13.0904837557755,12.7720176703767,12.8881342461299,11.8716349053109,11.3975797063521,10.9872790315977
galicia,8.5215417841063,9.25015898710759,10.3530030649857,13.5437029777972,16.0015412661283,15.0387481273971,14.6954461822192,15.4515744267066,18.2603857739958,17.5387836367154,15.7632129502837,13.2395037314581,13.0828783626664,13.333622565927
madrid,12.2161413668247,12.4282610876674,12.3101373003673,12.6579356811102,12.8858231655058,13.3531338869641,13.8860617261492,14.3775849110338,14.9546258888029,16.4633035078501,16.0110016220023,14.6432489737553,14.0969691747095,13.7263182138051
murcia,6.9692898806955,0.99968245380879,5.37900379219767,5.47576089440054,6.21768541446859,6.07130451447531,6.47300675907425,7.02527158277645,6.86483291249126,6.68500954013771,6.0602785676128,10.9518668851598,11.2313142061882,11.1205537315674
navarra,3.47581732281148,3.00217702777283,3.72172716228837,3.87402500821501,3.38615507222087,3.63959883532837,3.55556146303047,3.8291663640745,4.2715961423457,3.96461658985883,3.68960817931182,3.90934676528812,4.91803787354592,4.85665120710281
pais_vasco,5.09388181431776,4.91558798141118,5.04202238695885,5.50609694896894,6.11739633400606,5.6286432052017,6.11618215255867,6.53170608723259,6.51333820404318,6.77661790601586,6.5921787196575,6.59615509615922,6.40191729215314,6.28284577780901
rioja,12.037338461189,11.4644970414201,11.8957154118758,11.8306134521034,12.6723283359393,12.0232227551115,12.5009383863671,12.3637399342327,13.0393290099874,12.589290710036,11.3518291642759,11.4876685606354,11.4026494936791,11.5518263996497
